game_id,game,round,phase,season_code,team_id_a,team_id_b,fast_break_points_a,fast_break_points_b,turnover_points_a,turnover_points_b,second_chance_points_a,second_chance_points_b,defensive_rebounds_a,offensive_rebounds_b,offensive_rebounds_a,defensive_rebounds_b,turnovers_starters_a,turnovers_bench_a,turnovers_starters_b,turnovers_bench_b,steals_starters_a,steals_bench_a,steals_starters_b,steals_bench_b,assists_starters_a,assists_bench_a,assists_starters_b,assists_bench_b,points_starters_a,points_bench_a,points_starters_b,points_bench_b,max_a,minute_prev_a,prev_a,minute_str_a,str_a,max_b,minute_prev_b,prev_b,minute_str_b,str_b,max_lead_a,max_lead_b,minute_max_lead_a,minute_max_lead_b,points_max_lead_a,points_max_lead_b
E2016_138,ULK-PAN,18,REGULAR SEASON,E2016,ULK,PAN,4,8,16,14,14,5,24,10,14,16,7,7,8,5,7,1,4,3,11,9,8,5,46,38,24,39,13,9,21-16,13,34-16,6,25,54-33,27,54-39,25,0,34,0,70-45,
E2016_139,TEL-RED,18,REGULAR SEASON,E2016,TEL,RED,7,9,7,16,10,9,24,11,11,19,11,5,6,1,5,1,3,2,7,9,11,4,41,26,36,35,10,10,15-16,12,25-16,9,22,41-37,27,41-46,9,5,12,27,25-16,41-46
E2016_140,CSK-BAM,18,REGULAR SEASON,E2016,CSK,BAM,6,2,22,14,7,14,22,9,7,13,9,7,7,8,3,7,3,5,10,16,10,6,37,48,35,29,9,3,3-7,5,12-7,6,5,12-7,7,12-13,24,4,27,2,64-40,0-4
E2016_141,DAR-UNK,18,REGULAR SEASON,E2016,DAR,UNK,7,4,9,18,27,16,30,14,19,20,11,6,8,3,6,2,5,1,9,4,12,2,63,8,35,29,12,31,51-54,33,63-54,8,16,31-26,20,31-34,12,3,8,20,23-11,31-34
E2016_142,MIL-GAL,18,REGULAR SEASON,E2016,MIL,GAL,10,4,18,9,14,8,22,6,16,24,6,3,11,3,1,7,2,2,10,11,12,9,47,45,65,22,9,12,27-24,14,36-24,9,32,73-67,35,73-76,16,8,18,5,47-31,5-13
E2016_143,OLY-BAS,18,REGULAR SEASON,E2016,OLY,BAS,23,6,8,10,12,11,34,10,13,28,8,2,6,6,2,4,5,2,11,6,7,3,55,37,41,21,13,16,35-24,19,48-24,11,30,76-41,34,76-52,35,2,30,4,76-41,6-8
E2016_144,ZAL-MAD,18,REGULAR SEASON,E2016,ZAL,MAD,0,8,0,26,4,8,28,9,12,27,11,6,5,5,2,0,5,7,11,5,16,9,23,36,33,41,8,25,41-48,28,49-48,14,30,53-53,34,53-67,3,17,2,40,3-0,57-74
E2016_145,GAL-TEL,19,REGULAR SEASON,E2016,GAL,TEL,8,6,21,8,13,7,27,12,6,21,3,5,6,9,3,2,2,2,22,7,6,8,50,52,45,18,14,28,67-52,34,81-52,8,13,30-22,15,30-30,39,3,40,4,102-63,6-9
E2016_146,BAS-RED,19,REGULAR SEASON,E2016,BAS,RED,12,12,11,24,14,9,21,8,8,22,10,10,5,7,3,1,10,4,10,4,18,6,35,34,61,26,12,30,46-70,34,58-70,13,12,20-30,16,20-43,0,28,0,25,,34-62
E2016_147,PAN-BAR,19,REGULAR SEASON,E2016,PAN,BAR,7,2,26,7,12,5,22,10,9,33,4,3,16,5,6,5,2,0,8,7,10,6,36,35,37,28,12,15,22-25,19,34-25,7,13,22-18,15,22-25,10,3,21,15,39-29,22-25
E2016_148,UNK-ULK,19,REGULAR SEASON,E2016,UNK,ULK,0,4,9,19,14,11,17,6,9,14,10,7,6,4,4,2,4,3,10,8,12,10,50,31,60,26,12,15,22-32,18,34-32,11,18,34-32,21,34-43,2,13,18,27,34-32,47-60
E2016_149,IST-DAR,19,REGULAR SEASON,E2016,IST,DAR,13,2,17,9,8,24,21,19,8,23,6,2,10,1,3,0,2,1,8,13,11,2,60,33,60,21,13,18,32-38,21,45-38,10,21,48-41,23,48-51,12,6,40,18,93-81,32-38
E2016_150,BAM-MAD,19,REGULAR SEASON,E2016,BAM,MAD,9,13,20,21,5,16,21,16,5,24,8,2,4,8,5,3,1,5,11,9,8,7,57,32,46,45,8,13,28-34,15,36-34,7,16,39-38,17,39-45,2,10,9,18,21-19,41-51
E2016_151,MIL-OLY,19,REGULAR SEASON,E2016,MIL,OLY,16,6,17,13,12,20,20,21,13,17,5,5,12,4,6,3,4,0,7,14,8,8,42,57,55,28,10,12,19-26,15,29-26,10,3,6-4,6,6-14,16,9,40,9,99-83,10-19
E2016_152,ZAL-CSK,19,REGULAR SEASON,E2016,ZAL,CSK,5,2,24,20,12,6,17,4,9,17,13,4,10,11,5,1,4,4,19,5,14,5,65,14,28,46,8,20,38-45,22,46-45,7,30,57-58,31,57-65,5,8,2,31,7-2,57-65
E2016_153,RED-PAN,20,REGULAR SEASON,E2016,RED,PAN,8,9,18,16,10,15,25,12,9,26,6,2,6,8,5,1,1,3,14,5,8,10,47,25,10,56,16,1,0-0,6,16-0,8,6,16-0,8,16-8,16,2,6,26,16-0,48-50
E2016_154,BAR-BAS,20,REGULAR SEASON,E2016,BAR,BAS,2,5,9,21,9,15,21,11,16,21,7,11,7,5,2,3,9,1,8,9,12,7,28,51,64,29,7,7,9-16,8,16-16,15,19,43-45,22,43-60,3,25,2,29,3-0,55-80
